sweep_time,choch_time,type,price
2025-04-02 01:45:00,2025-04-02 03:00:00,BSL_SWEEP,1.29279
2025-04-02 10:15:00,2025-04-02 12:30:00,SSL_SWEEP,1.29065
2025-04-02 10:45:00,2025-04-02 12:30:00,SSL_SWEEP,1.29084
2025-04-04 08:30:00,2025-04-04 09:15:00,BSL_SWEEP,1.3108
2025-04-16 17:00:00,2025-04-16 18:15:00,BSL_SWEEP,1.32557
2025-04-25 13:15:00,2025-04-25 15:00:00,SSL_SWEEP,1.32894
2025-04-25 16:15:00,2025-04-25 16:45:00,BSL_SWEEP,1.33169
2025-04-30 15:15:00,2025-04-30 16:15:00,BSL_SWEEP,1.33534
2025-05-21 10:00:00,2025-05-21 12:15:00,BSL_SWEEP,1.34433
2025-05-21 10:45:00,2025-05-21 12:15:00,BSL_SWEEP,1.34194
2025-05-06 04:30:00,2025-05-06 07:00:00,SSL_SWEEP,1.32606
2025-05-05 19:00:00,2025-05-05 19:00:00,BSL_SWEEP,1.32744
2025-05-05 20:00:00,2025-05-05 21:45:00,SSL_SWEEP,1.32752
2025-05-06 05:15:00,2025-05-06 07:00:00,SSL_SWEEP,1.32842
2025-05-12 09:15:00,2025-05-12 10:00:00,BSL_SWEEP,1.32938
2025-05-14 09:15:00,2025-05-14 10:30:00,SSL_SWEEP,1.32979
2025-05-20 03:30:00,2025-05-20 04:00:00,SSL_SWEEP,1.33474
2025-05-22 10:15:00,2025-05-22 11:00:00,SSL_SWEEP,1.34191
2025-05-22 11:15:00,2025-05-22 12:15:00,BSL_SWEEP,1.34314
2025-05-28 02:30:00,2025-05-28 04:30:00,BSL_SWEEP,1.35134
2025-05-28 13:30:00,2025-05-28 13:30:00,BSL_SWEEP,1.35144
2025-05-30 16:15:00,2025-05-30 16:45:00,BSL_SWEEP,1.34838
2025-06-02 01:00:00,2025-06-02 03:15:00,SSL_SWEEP,1.3454
2025-06-03 03:00:00,2025-06-03 05:00:00,BSL_SWEEP,1.35491
2025-06-04 11:45:00,2025-06-04 13:30:00,BSL_SWEEP,1.35442
2025-06-09 21:30:00,2025-06-09 23:30:00,BSL_SWEEP,1.35638
